,0
0,5cdb6702792b05513cf98b3d
1,5ce4a1e4af740905e87691b4
2,5cf71220532694398ccb13ec
3,5d0051f1532694398ccc7629
4,5d12c6236ffd680fe8888767
5,5d1c002f696f291324724c4d
6,5d253c28236e9765389abcaa
7,5d2e721110cf4a2c4d6739b3
8,5d37ac80eba308453e0443de
9,5d4a2484b070676a9e97a69b
10,5d520e3cb5d49c457fd0d6ae
11,5d535f61b5d49c457fd1083a
12,5cda13f8792b05513cf94f51
13,5ce351b9af740905e87657b3
14,5cf5c5bf532694398ccae281
15,5cfeff96532694398ccc4207
16,5d083a3c30bcff07cb88a424
17,5d1174c96ffd680fe8884fdd
18,5d1aa352696f291324721637
19,5d23ef60236e9765389a8f4e
20,5d2d17da10cf4a2c4d66fcb0
21,5d365d3510cf4a2c4d686050
22,5d4a24e9b070676a9e97a6d0
23,5d520d6fb5d49c457fd0d65f
24,5cdb6682792b05513cf98ac1
25,5ceddde10c8d8b48f14e1bd8
26,5cf71ac8532694398ccb1a27
27,5d00530c532694398ccc76ee
28,5d12c6f86ffd680fe88887fa
29,5d1c01de696f291324724d48
30,5d2e773610cf4a2c4d673cf6
31,5d37b084eba308453e04461e
32,5d40eb85b070676a9e965bf2
33,5d4a2623b070676a9e97a798
34,5cda14a8792b05513cf94fa4
35,5ce349e8af740905e876538b
36,5cf5b944532694398ccadbd4
37,5d0833ef30bcff07cb88a15d
38,5d1169a66ffd680fe8884a03
39,5d1aa9aa696f29132472188b
40,5d23e749236e9765389a8b8b
41,5d365f2e10cf4a2c4d686177
42,5d4a2444b070676a9e97a67e
43,5cf719ec532694398ccb199e
44,5d005366532694398ccc7721
45,5d12c8136ffd680fe88888a8
46,5d253c58236e9765389abce1
47,5d37b091eba308453e044625
48,5ce350b2af740905e876572b
49,5cfeff14532694398ccc41cd
50,5d08352730bcff07cb88a1f3
51,5d1aafdd696f291324721abe
52,5d2d22da10cf4a2c4d6701e0
53,5d365ea710cf4a2c4d6860ff
54,5d098db730bcff07cb88d605
55,5d1c020b696f291324724d60
56,5d2e776310cf4a2c4d673d1e
57,5cda150b792b05513cf94fce
58,5cf5c799532694398ccae381
59,53743
60,5d23eb18236e9765389a8d6c
61,5cff0046532694398ccc424d
62,5d2d26c510cf4a2c4d6703f4
63,5cdb66ab792b05513cf98ae7
64,5cf720ac532694398ccb1df3
65,5d098f4b30bcff07cb88d6d4
66,53832
67,54084
68,5d37c11eeba308453e045030
69,5ce4a247af740905e8769205
70,5d005109532694398ccc758e
71,5d253c62236e9765389abcea
72,5cda1969792b05513cf95212
73,5ce350aaaf740905e8765726
74,5cf5c52e532694398ccae248
75,5cfef1c0532694398ccc3af7
76,5d082f7930bcff07cb889f14
77,5d1176876ffd680fe888509e
78,5d1aa2b4696f2913247215fc
79,5d23e6c0236e9765389a8b3d
80,5d2d1b7210cf4a2c4d66fe7e
81,5d365f3810cf4a2c4d686181
82,5d48d129b070676a9e977374
83,5d4a1ff3b070676a9e97a3f6
84,5d520ce1b5d49c457fd0d61d
85,5d535faeb5d49c457fd10872
86,5cdb6758792b05513cf98b94
87,5ce4a459af740905e87693d8
88,5cf718b5532694398ccb18a8
89,5d005134532694398ccc75b1
90,5d12c8446ffd680fe88888d0
91,5d1419726ffd680fe888bbec
92,5d1c02cc696f291324724db3
93,5d253cf1236e9765389abd47
94,54723
95,5d40eb25b070676a9e965bab
96,5d48d63fb070676a9e9775ed
97,5d4a265bb070676a9e97a7c5
98,5d5212f3b5d49c457fd0d9db
99,51690
100,5ce4a0ceaf740905e87690c8
101,5cf716b0532694398ccb1752
102,5d098c8730bcff07cb88d55b
103,5d12c5546ffd680fe88886dd
104,5d253aa6236e9765389abbaf
105,5d37b237eba308453e04470c
106,5d48d2dbb070676a9e97745d
107,5d4a2a9fb070676a9e97aa01
108,5d8ac1f100cbf52c994a6b2a
109,51798
110,5ce4a75faf740905e876963d
111,5cf714b1532694398ccb15e4
112,5d0051b6532694398ccc7600
113,5d098f8c30bcff07cb88d6f6
114,5d12cb546ffd680fe8888ab1
115,5d1c0447696f291324724e85
116,5d253e0f236e9765389abdf9
117,5d40e9e2b070676a9e965af7
118,5cdb6887792b05513cf98ca2
119,5cf715cd532694398ccb16a2
120,5d12c97e6ffd680fe8888992
121,5d253d0f236e9765389abd50
122,5d2e766d10cf4a2c4d673c93
123,5d4a2914b070676a9e97a935
124,5cda13dd792b05513cf94f46
125,5ce352aaaf740905e8765843
126,5cf5c4cb532694398ccae216
127,5cff0059532694398ccc4255
128,5d1173726ffd680fe8884f45
129,5d1ab00a696f291324721ad0
130,5d23ea4d236e9765389a8ce8
131,5d2d261b10cf4a2c4d670390
132,5cda17d6792b05513cf95141
133,5ce354b0af740905e8765933
134,5cf5c467532694398ccae1dc
135,5cfeff83532694398ccc41fe
136,5d1178b56ffd680fe888518f
137,5d1aae84696f291324721a54
138,5d23ea76236e9765389a8cf7
139,5d2d22b410cf4a2c4d6701cd
140,5d48d8eeb070676a9e977755
141,5cef2faa0c8d8b48f14e5031
142,5cff0067532694398ccc425c
143,5d083b9330bcff07cb88a4c1
144,5d1ab1f2696f291324721b64
145,5d2d238410cf4a2c4d67022b
146,5d365f7d10cf4a2c4d6861a7
147,5ce35296af740905e876583a
148,5cf5c5b2532694398ccae27d
149,5cff023c532694398ccc4343
150,5d0839ca30bcff07cb88a3ff
151,5d1aaf1a696f291324721a86
152,5d23e9a2236e9765389a8c84
153,5d2d25d410cf4a2c4d670367
