,0
0,5b97167ec437f75968eafeef
1,5ba050dad297de05c5ae6a3f
2,5ba98cad0ad3f16619179240
3,5bb2ba7069d5ae1b4d0d4e19
4,5bc53239abb91b07fbf2d8a4
5,5bce6971a8b940069fdf4268
6,5be0efb3f9a07c22e89c1f7f
7,5bea2cf9f9a07c22e89d77cf
8,37219
9,5c0730defbd3db40b90a4c46
10,5ba0519fd297de05c5ae6aa4
11,5ba9880f0ad3f1661917902b
12,5bb2c93169d5ae1b4d0d563e
13,5bbc02c269d5ae1b4d0e89ad
14,5bc53a8fabb91b07fbf2dd0a
15,5bce7aa6a8b940069fdf4be3
16,35724
17,5bea3625f9a07c22e89d7c0c
18,5bf36f51f9a07c22e89eb690
19,5c073346fbd3db40b90a4e82
20,5c0f1d3ffbd3db40b90b4b0c
21,5c106f83fbd3db40b90b7e0c
22,5b971685c437f75968eafef7
23,5ba98f620ad3f166191793a2
24,5bbc009069d5ae1b4d0e888b
25,5bc53ca2abb91b07fbf2de17
26,5bce7581a8b940069fdf495c
27,5bf36fcef9a07c22e89eb6d1
28,5c0734c8fbd3db40b90a4fee
29,5c0f1c87fbd3db40b90b4aa5
30,5b986bd4c437f75968eb35a9
31,5ba1a6550ad3f16619168ca1
32,5baadba60ad3f1661917c9cf
33,5bb4188369d5ae1b4d0d9188
34,5bbd5189abb91b07fbf1e48b
35,5bc68ae9abb91b07fbf3117d
36,5bcfc5d275c09905bade368d
37,5be24abcf9a07c22e89c623e
38,5bf4bf23b4ec4805cdadeb26
39,5b9895eac437f75968eb50e2
40,5baad9820ad3f1661917c7dc
41,5bb41a7969d5ae1b4d0d9374
42,5bbd5210abb91b07fbf1e51a
43,5bc68a44abb91b07fbf310e3
44,5be248adf9a07c22e89c5fe5
45,5beb84e9f9a07c22e89db62f
46,5bf4c3fdb4ec4805cdadeff5
47,5c07312afbd3db40b90a4ca5
48,5b986c6bc437f75968eb363d
49,5ba1a4fd0ad3f16619168b47
50,5bb4185f69d5ae1b4d0d9157
51,5bcfca6d75c09905bade3b64
52,5be2499ef9a07c22e89c60ed
53,5beb8838f9a07c22e89db9c9
54,5ba98df80ad3f166191792d7
55,5bbbf36769d5ae1b4d0e8161
56,5bc53023abb91b07fbf2d782
57,5bce69eaa8b940069fdf42af
58,5bd7a06bf9a07c22e89ad3d6
59,5bf3610ff9a07c22e89ead81
60,5ba05024d297de05c5ae69db
61,5bd7a38af9a07c22e89ad56f
62,5be0f784f9a07c22e89c2496
63,5ba1a6ff0ad3f16619168d3d
64,5baade0f0ad3f1661917cc08
65,5bcfc8ef75c09905bade3993
66,5be249ccf9a07c22e89c6132
67,5bfdfe6580ccd5057e2a90ae
68,5baadeaf0ad3f1661917cc9e
69,5bc68f87abb91b07fbf315fd
70,5bf4c0bfb4ec4805cdadecd2
71,5ba051d4d297de05c5ae6ac0
72,32293
73,5be0f059f9a07c22e89c1ff7
74,5bbdffa6abb91b07fbf20bb8
75,5bcfc72575c09905bade37e7
76,5bf4c1f4b4ec4805cdadee05
77,5bb4185169d5ae1b4d0d9144
78,5beb870df9a07c22e89db863
79,5ba04f41d297de05c5ae695c
80,5ba98b500ad3f1661917919f
81,5bb2c41469d5ae1b4d0d539c
82,5bbc01db69d5ae1b4d0e892e
83,34388
84,5be0fac9f9a07c22e89c2677
85,36528
86,5bf36c77f9a07c22e89eb4f4
87,5c05e6abfbd3db40b90a1996
88,5c07362afbd3db40b90a513e
89,5c0f1c7cfbd3db40b90b4a9c
90,5c106e3bfbd3db40b90b7d0b
91,5b986866c437f75968eb32b0
92,5ba1a7ed0ad3f16619168e12
93,5bb415c569d5ae1b4d0d8e6f
94,5bb4179969d5ae1b4d0d906b
95,5bbd53beabb91b07fbf1e6f1
96,5bcfcc0375c09905bade3d2d
97,5be249f9f9a07c22e89c6162
98,5be4ea5df9a07c22e89ccab7
99,5beb8510f9a07c22e89db64d
100,5c05e1affbd3db40b90a16f3
101,5c0732dbfbd3db40b90a4e23
102,5b9717d8c437f75968eaff9e
103,5ba98bd70ad3f166191791d7
104,5bb2c59a69d5ae1b4d0d545f
105,5bbc00d569d5ae1b4d0e88ab
106,5bc53c01abb91b07fbf2ddcb
107,5bce77bba8b940069fdf4a6b
108,5be0f9a9f9a07c22e89c25c2
109,5bea33ebf9a07c22e89d7b0b
110,5bf36f0bf9a07c22e89eb664
111,5c05edf2fbd3db40b90a1dad
112,5c07330afbd3db40b90a4e4c
113,5c0f1c42fbd3db40b90b4a82
114,5b971821c437f75968eaffc6
115,5ba0512bd297de05c5ae6a6c
116,5ba98ae40ad3f1661917916f
117,5bb2c7f869d5ae1b4d0d55a9
118,5bbc00ec69d5ae1b4d0e88b9
119,5bc53d35abb91b07fbf2de59
120,5bce7520a8b940069fdf4931
121,5be0f814f9a07c22e89c24df
122,5bea3625f9a07c22e89d7c0e
123,5bf36cf1f9a07c22e89eb541
124,5c05e257fbd3db40b90a1751
125,5b971897c437f75968eafff7
126,5ba050f1d297de05c5ae6a45
127,5ba98c300ad3f16619179204
128,5bbbfe6869d5ae1b4d0e8772
129,5bc53c70abb91b07fbf2de07
130,5bce7597a8b940069fdf4969
131,5be0f95ff9a07c22e89c25a0
132,5bf36eecf9a07c22e89eb652
133,5c05e434fbd3db40b90a1856
134,5b98800dc437f75968eb4769
135,5ba1a5500ad3f16619168b94
136,5baae60d0ad3f1661917d3ca
137,5bb4187e69d5ae1b4d0d917f
138,5bbd53b4abb91b07fbf1e6e9
139,5bc68cbaabb91b07fbf31335
140,5bcfd55b75c09905bade46f2
141,5beb88bdf9a07c22e89dba52
142,5bf4c431b4ec4805cdadf033
143,5bfdf8af80ccd5057e2a8a79
144,5b971633c437f75968eafec6
145,5ba05260d297de05c5ae6b02
146,5bb2c78969d5ae1b4d0d5570
147,5bbc044769d5ae1b4d0e8a5e
148,5bc5397fabb91b07fbf2dc86
149,5bce74e3a8b940069fdf4903
150,5bea32e5f9a07c22e89d7a80
151,5bf37032f9a07c22e89eb70b
152,5c0616edfbd3db40b90a27a9
153,5b9718d2c437f75968eb000f
154,5ba04ff1d297de05c5ae69bf
155,5bb2c56169d5ae1b4d0d543b
156,5bc53c6cabb91b07fbf2de05
157,5bce7527a8b940069fdf4938
158,5bea3442f9a07c22e89d7b31
159,5b986c04c437f75968eb35dd
160,5ba1a1d10ad3f166191687ff
161,5bb41b3069d5ae1b4d0d9435
162,5bbd5240abb91b07fbf1e558
163,5bc68e46abb91b07fbf314ae
164,5bcfc8f975c09905bade39a1
165,5beb849df9a07c22e89db5d3
166,5bf4bef7b4ec4805cdadeb02
167,5c05e189fbd3db40b90a16dd
168,5ba1a47a0ad3f16619168ac6
169,5baadc180ad3f1661917ca23
170,5bb41a5969d5ae1b4d0d9354
171,5be24987f9a07c22e89c60cc
172,36665
173,38299
174,5ba05294d297de05c5ae6b24
175,5ba98f690ad3f166191793af
176,5bbc027569d5ae1b4d0e897b
177,5bce763ea8b940069fdf49b9
178,5be0fd5bf9a07c22e89c2811
179,5bfcaa6eb4ec4805cdaed0e6
180,5bb2c6c469d5ae1b4d0d551a
181,5bbc049669d5ae1b4d0e8a82
182,5bea36aaf9a07c22e89d7c4b
183,5bf37017f9a07c22e89eb6fa
184,5b9716fec437f75968eaff38
185,5bb2d6ba69d5ae1b4d0d5cb0
186,5bc53d30abb91b07fbf2de57
187,5bea3323f9a07c22e89d7a9e
188,5b986afcc437f75968eb34f0
189,5baadd130ad3f1661917cb05
190,5bb40f2269d5ae1b4d0d881e
191,5bbd528babb91b07fbf1e5a4
192,5bc68c9fabb91b07fbf31316
193,5be248d9f9a07c22e89c601d
194,5beb83baf9a07c22e89db4f6
195,5bf4c040b4ec4805cdadec3a
196,5ba19b920ad3f166191682d6
197,5baaddc20ad3f1661917cbb9
198,5bb4154269d5ae1b4d0d8df5
199,5bcfbf5475c09905bade2fa2
200,5be247e9f9a07c22e89c5f17
201,5beb82bff9a07c22e89db406
202,5b9716edc437f75968eaff28
203,5bb4188269d5ae1b4d0d9186
204,5bbbff3d69d5ae1b4d0e87d7
205,5bc53a50abb91b07fbf2dcea
206,5bce758fa8b940069fdf4962
207,5bf36cf3f9a07c22e89eb544
208,5b986266c437f75968eb2db8
209,5bbd485babb91b07fbf1dbc7
210,34039
211,5bf4b674b4ec4805cdade278
212,5bcfc6a975c09905bade3762
213,5ba98a4d0ad3f1661917912a
214,5be0fc5ff9a07c22e89c2775
215,5b9868ffc437f75968eb3333
216,5bc68e8dabb91b07fbf314fe
217,5be25088f9a07c22e89c6812
218,5ba98dbe0ad3f166191792bc
219,5be0fa71f9a07c22e89c2643
220,5bd90a11f9a07c22e89b2260
221,5bfe02dd80ccd5057e2a957b
222,5bc56c20abb91b07fbf2ebe5
223,5bb2c59869d5ae1b4d0d545c
224,5bea313ff9a07c22e89d79c0
225,5b986a80c437f75968eb3487
226,5ba1a2c60ad3f166191688ee
227,5bb415fe69d5ae1b4d0d8ec4
228,5bbd5356abb91b07fbf1e68c
229,5bc68e85abb91b07fbf314f8
230,5bcfcac075c09905bade3bd5
231,5beb838ff9a07c22e89db4d0
232,5bf4c0c1b4ec4805cdadecd9
233,5c10720ffbd3db40b90b8050
234,5baadd540ad3f1661917cb4e
235,5bc69047abb91b07fbf316e7
236,5bd90459f9a07c22e89b1bb7
237,5be24bdef9a07c22e89c6353
238,5beb8570f9a07c22e89db6bc
239,5bfe007180ccd5057e2a92db
240,5babb9750ad3f1661917f1db
241,5bbd53afabb91b07fbf1e6e3
242,5be24b81f9a07c22e89c62e7
243,5bf59a93b4ec4805cdae0ee3
244,5bcfc98575c09905bade3a47
