,0
0,5a5eb4076951fe43eb626418
1,5a67edbdeeae66394c947724
2,5a712608eeb8db0a32f6d1ad
3,5a7a61828d8e266f532a6eb0
4,5a83e3f44ade97059b0bf9ac
5,5a8cd7e84cb23561f8f25d1c
6,5a96117011bd5705e483a9b1
7,5a9f4c2024d5b07cf61d7382
8,5ab1b0fe26a7c515e4304522
9,5ac426542f84ca2af61a85cc
10,23677
11,5a6698e8eeae66394c9451ab
12,5a6fd46dc4d0674c9b651b22
13,5a790e758d8e266f532a4195
14,5a82499cd3a54643a4daf386
15,5a8b84584cb23561f8f22ba7
16,5a94c00311bd5705e4837801
17,5a9dfc2224d5b07cf61d439d
18,5aa723b2cb19ef73e3b51d76
19,5ab05dd226a7c515e4301076
20,5ac4265b2f84ca2af61a85d5
21,5acd6525dbb0213feec0a556
22,5a5d60c96951fe43eb62406d
23,5a6fd6bfc4d0674c9b651c09
24,5a824b76d3a54643a4daf464
25,5a8b8a264cb23561f8f22e27
26,20910
27,5ab05ffb26a7c515e4301181
28,5ac4291c2f84ca2af61a8822
29,5a5eb15d6951fe43eb626299
30,5a67e810eeae66394c94744f
31,5a7118f7eeb8db0a32f6cc16
32,5a7a5eff8d8e266f532a6cf4
33,5a8396da4ade97059b0bde0a
34,5a8cd3234cb23561f8f259ae
35,5a9609b211bd5705e483a37b
36,5a9f465624d5b07cf61d6f7a
37,5ab1a56326a7c515e4303ccc
38,5ac427102f84ca2af61a8688
39,5a67efd1eeae66394c94782e
40,5a71281feeb8db0a32f6d2ac
41,5a7a62c18d8e266f532a6fa8
42,5a8cd39e4cb23561f8f25a02
43,21653
44,5ab1b25a26a7c515e430462a
45,5acc1042dbb0213feec06f7e
46,5a67ed17eeae66394c9476d6
47,5a71264feeb8db0a32f6d1cb
48,5a7a64008d8e266f532a7085
49,5a8cd6fc4cb23561f8f25c78
50,5a9f4b8824d5b07cf61d7319
51,5ab1b15f26a7c515e430456b
52,5a5ebc2d6951fe43eb626813
53,5a960f9811bd5705e483a82d
54,5abaeb837ec8f70ecb3fae47
55,5a5eb3e96951fe43eb62640f
56,21121
57,5aa87c45cb19ef73e3b5515d
58,5aa8a1cfcb19ef73e3b55e39
59,5a669b92eeae66394c9452ac
60,5a9df91a24d5b07cf61d4258
61,5b03806dbccae511e359d9dd
62,5a5eb4a66951fe43eb62645b
63,5a67eba0eeae66394c947621
