TeamSeason,3DA
1's Are Closed1,2.041176471
1's Are Closed3,1.941666667
140 Darts10,2.115483871
140 Darts12,2.284507042
140 Darts3,2.42
140 Darts4,2.552688172
140 Darts6,2.376033058
140 Darts7,2.22016129
140 Darts9,2.068181818
96,2.907526882
ATM3,2.045454545
Adjustments12,1.980412371
Anonymous3,2.037755102
Anonymous4,2.111111111
Azzkickers1,1.785714286
Azzkickers10,1.567424242
Azzkickers4,1.713559322
Azzkickers7,1.681746032
B Team Bombers7,1.333684211
Bacon1,1.436
Bacon3,1.337313433
Bacon4,1.446428571
Bacon6,1.360714286
Bacon7,1.473404255
Balls Deep1,1.831914894
Baywatch10,1.383185841
Baywatch12,1.468539326
Baywatch9,1.544736842
Be Somebody!1,2.886666667
Be Somebody!12,2.998717949
Be Somebody!3,2.818421053
Be Somebody!6,2.760416667
Be Somebody!9,2.825555556
Beer B4 Bulls!10,2.511363636
Beer B4 Bulls!9,2.391428571
Best Friends1,1.68627451
Best Friends10,1.335779817
Best Friends12,1.704761905
Best Friends3,1.590425532
Best Friends4,1.663636364
Best Friends6,1.631325301
Best Friends7,1.727692308
Best Friends9,1.39047619
Bieg's Bowl Returns7,1.584615385
Big Wayne12,2.017857143
Big Wayne3,1.944210526
Big Wayne6,2.043150685
Big Wayne9,2.131034483
Blind Squirrels10,1.87962963
Blind Squirrels12,1.711363636
Blind Squirrels4,1.980487805
Blind Squirrels6,1.966666667
Blind Squirrels7,1.930952381
Blind Squirrels9,1.941176471
Bread & Butter4,1.437078652
Bull Masters10,1.671755725
Bullshidartists12,2.251041667
BustnBalls10,1.193902439
BustnBalls9,1.411320755
Chairmen of the Board6,1.420731707
Clover7,1.627941176
Con dArtists10,2.843157895
Con dArtists12,2.930434783
Con dArtists6,1.80952381
Con dArtists7,2.493333333
Con dArtists9,2.559183673
Cork Busters10,2.701941748
Cork Busters12,2.7
Cork Busters7,2.573913043
Cork Busters9,2.665822785
Cucklers9,1.321428571
DB & the Silver Bullet Boys7,1.782945736
DWI Rockahula1,2.226190476
DWI Rockahula3,2.256410256
DWI Rockahula4,2.236893204
DWI Rockahula6,2.155319149
DWI Rockahula7,2.176923077
Dark Nights10,2.210738255
Dark Nights12,2.545679012
Dark Nights9,1.742241379
Dart Daddies10,2.041666667
